epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5848,1.4779,2.94908,1.98167,0.56245,0.2807,0.33483,0.14623,1.67886,3.02177,2.5525,0.000597604,0.000597604,0.000597604
2,19.2434,1.56693,2.26164,2.02675,0.3068,0.35014,0.24237,0.08953,2.01205,3.87875,3.38852,0.00119379,0.00119379,0.00119379
3,27.5555,1.65105,2.24847,2.12331,0.21061,0.21189,0.14664,0.05573,2.23848,4.42775,3.26293,0.00163409,0.00163409,0.00163409
4,36.0816,1.61699,2.11868,2.10238,0.22254,0.3993,0.21538,0.07983,2.09473,4.52904,3.03052,0.00161764,0.00161764,0.00161764
5,44.4283,1.60176,2.02026,2.09224,0.57057,0.50364,0.49806,0.22021,1.8226,2.47695,2.39101,0.00160118,0.00160118,0.00160118
6,52.8406,1.57707,1.92854,2.05052,0.43178,0.52112,0.45567,0.19873,1.87024,2.42275,2.45138,0.00158473,0.00158473,0.00158473
7,61.1371,1.55032,1.84947,2.02986,0.38172,0.35357,0.2832,0.11936,2.16757,2.92328,3.05389,0.00156827,0.00156827,0.00156827
8,69.6293,1.49362,1.76588,1.99165,0.53083,0.40704,0.42969,0.18911,1.87787,2.6031,2.52317,0.00155182,0.00155182,0.00155182
9,77.9334,1.4878,1.74939,1.98674,0.66416,0.54895,0.58207,0.28471,1.71065,2.03161,2.25965,0.00153537,0.00153537,0.00153537
10,86.3299,1.49137,1.7406,1.97161,0.4642,0.39029,0.37611,0.16874,1.95808,2.65887,2.70061,0.00151891,0.00151891,0.00151891
11,94.7235,1.47955,1.77551,1.98291,0.67974,0.53916,0.58301,0.29743,1.68339,1.8551,2.22846,0.00150246,0.00150246,0.00150246
12,103.111,1.45844,1.69272,1.95774,0.72732,0.53972,0.61045,0.31121,1.63776,1.83666,2.15415,0.001486,0.001486,0.001486
13,111.56,1.40153,1.59494,1.89287,0.67292,0.55523,0.60622,0.31701,1.63663,1.84866,2.14986,0.00146955,0.00146955,0.00146955
14,119.882,1.40522,1.60152,1.89826,0.73689,0.56234,0.63315,0.33224,1.62205,1.71011,2.13957,0.00145309,0.00145309,0.00145309
15,128.192,1.39298,1.59881,1.89801,0.61276,0.57594,0.56691,0.2787,1.716,1.9785,2.30444,0.00143664,0.00143664,0.00143664
16,136.498,1.41526,1.57341,1.92342,0.76989,0.58126,0.66983,0.35525,1.6105,1.68595,2.12358,0.00142019,0.00142019,0.00142019
17,144.89,1.34551,1.50939,1.85118,0.72625,0.55581,0.61996,0.31834,1.65795,1.82514,2.18963,0.00140373,0.00140373,0.00140373
18,153.151,1.35912,1.49539,1.86538,0.54896,0.45413,0.439,0.21921,1.79979,2.44633,2.40602,0.00138728,0.00138728,0.00138728
19,161.468,1.35005,1.51763,1.85586,0.70432,0.58308,0.62482,0.32542,1.57666,1.79559,2.09742,0.00137082,0.00137082,0.00137082
20,169.861,1.31793,1.48678,1.83719,0.6469,0.60601,0.61972,0.3292,1.60017,1.75994,2.12678,0.00135437,0.00135437,0.00135437
21,178.234,1.34241,1.4593,1.85439,0.69613,0.55642,0.62762,0.31821,1.70959,1.85239,2.24658,0.00133791,0.00133791,0.00133791
22,186.55,1.33231,1.45834,1.85474,0.6632,0.56275,0.59982,0.31689,1.64243,1.86045,2.1841,0.00132146,0.00132146,0.00132146
23,194.909,1.3527,1.44382,1.85748,0.72215,0.58575,0.65046,0.3599,1.57273,1.63581,2.12926,0.00130501,0.00130501,0.00130501
24,203.372,1.3113,1.41051,1.83423,0.67901,0.62589,0.67616,0.35068,1.59136,1.62469,2.10574,0.00128855,0.00128855,0.00128855
25,211.821,1.29123,1.38,1.81203,0.74123,0.55821,0.63066,0.33424,1.61337,1.70384,2.16232,0.0012721,0.0012721,0.0012721
26,220.337,1.28867,1.38778,1.80371,0.66365,0.59385,0.61634,0.31691,1.71458,1.73159,2.21603,0.00125564,0.00125564,0.00125564
27,228.854,1.28321,1.38265,1.79823,0.74303,0.6151,0.67986,0.37889,1.48366,1.57396,1.98321,0.00123919,0.00123919,0.00123919
28,237.29,1.25136,1.31951,1.75588,0.68926,0.56531,0.62837,0.33912,1.60071,1.75239,2.13838,0.00122273,0.00122273,0.00122273
29,245.721,1.29177,1.35682,1.80923,0.64147,0.55775,0.59558,0.31729,1.64948,1.81733,2.18465,0.00120628,0.00120628,0.00120628
30,254.148,1.24827,1.32697,1.7668,0.74337,0.62079,0.68353,0.38139,1.52621,1.54053,2.05897,0.00118983,0.00118983,0.00118983
31,262.629,1.22972,1.26588,1.74709,0.64679,0.5181,0.56803,0.31124,1.5993,1.94867,2.22839,0.00117337,0.00117337,0.00117337
32,271.065,1.22209,1.28101,1.74704,0.71116,0.62597,0.67584,0.36664,1.58364,1.60387,2.09639,0.00115692,0.00115692,0.00115692
33,279.378,1.24813,1.33588,1.78292,0.76421,0.61622,0.69342,0.38252,1.53398,1.59087,2.06361,0.00114046,0.00114046,0.00114046
34,287.887,1.24281,1.32016,1.77607,0.67351,0.61231,0.64171,0.35506,1.57521,1.66702,2.12482,0.00112401,0.00112401,0.00112401
35,296.243,1.23955,1.27179,1.77447,0.69353,0.60063,0.66644,0.375,1.53762,1.61265,2.04436,0.00110755,0.00110755,0.00110755
36,304.508,1.22149,1.25897,1.76017,0.73537,0.63717,0.68793,0.39205,1.47063,1.53285,2.00489,0.0010911,0.0010911,0.0010911
37,312.925,1.20276,1.24466,1.7334,0.73339,0.61538,0.67525,0.37677,1.53464,1.55656,2.05411,0.00107465,0.00107465,0.00107465
