fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.47676,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.48067,0.0091,0.0099,0.89734,0.00041,3.0,0.80163,6.74627,0.51234,1.55793,0.01579,0.66285,0.40198,0.0,0.09201,0.5,0.0,0.0,0.0,0.51545,0.0,0.89488,0.0,0.0
0.47845,0.00919,0.01017,0.86101,0.00032,3.0,0.6725,6.74627,0.51234,1.81561,0.01338,0.65027,0.4566,0.0,0.09715,0.44702,0.0,0.0,0.0,0.48103,0.0,0.92048,0.0,0.0
0.48158,0.00908,0.01018,0.90645,0.00041,3.05295,0.79453,6.64376,0.50114,1.60784,0.01566,0.68104,0.40506,0.0,0.09102,0.5051,0.0,0.0,0.0,0.51747,0.0,0.86952,0.0,0.0
0.49042,0.00896,0.01124,0.9202,0.00045,3.0,0.79988,7.57416,0.54455,1.70459,0.01792,0.73253,0.40584,0.0,0.08586,0.52854,0.0,0.0,0.0,0.51545,0.0,0.89488,0.0,0.0
0.48898,0.01037,0.01031,0.88737,0.00035,3.9585,0.58941,6.29185,0.55314,1.23893,0.01497,0.67227,0.37156,0.0,0.13039,0.46724,0.0,0.0,0.0,0.49423,0.0,0.6773,0.0,0.0
0.48362,0.00904,0.01124,0.94716,0.00043,3.64943,0.79988,6.92996,0.43419,1.70459,0.01966,0.79382,0.40584,0.0,0.07319,0.50096,0.0,0.0,0.0,0.51545,0.0,0.83885,0.0,0.0
0.48332,0.01186,0.01064,0.88737,0.00027,3.36927,0.68469,7.12266,0.43341,1.66732,0.01497,0.67227,0.3732,0.0,0.08834,0.42755,0.0,0.0,0.0,0.4809,0.0,0.67423,0.0,0.0
0.47835,0.00862,0.01245,0.90814,0.00045,3.1535,0.78817,8.34276,0.54455,1.55667,0.01714,0.66205,0.35628,0.0,0.08875,0.51954,0.0,0.0,0.0,0.57271,0.0,0.89153,0.0,0.0
0.48727,0.01071,0.01074,0.88657,0.00034,3.22932,0.7249,7.57416,0.43839,1.84827,0.01681,0.70726,0.3894,0.0,0.08542,0.44002,0.0,0.0,0.0,0.45889,0.0,0.94822,0.0,0.0
0.47344,0.01123,0.01133,0.88657,0.00034,2.83579,0.65398,8.33289,0.38405,1.84827,0.01382,0.79623,0.37646,0.0,0.08542,0.43042,0.0,0.0,0.0,0.45889,0.0,0.90095,0.0,0.0
0.4862,0.01086,0.00794,0.88737,0.00034,3.66751,0.55464,6.50057,0.57579,1.09096,0.01556,0.67227,0.47034,0.0,0.15032,0.5818,0.0,0.0,0.0,0.40585,0.0,0.6773,0.0,0.0
0.47824,0.00879,0.00961,0.8657,0.0005,3.33316,0.81843,6.61044,0.52139,2.28037,0.02033,0.73253,0.36995,0.0,0.08586,0.58894,0.0,0.0,0.0,0.46319,0.0,1.0,0.0,0.0
